date,temperature,humidity,wind_speed,rainfall
2025-04-01,4.8,81.4,13.8,5.9
2025-04-02,6.5,80.3,20.0,1.5
2025-04-03,3.4,74.1,18.0,2.1
2025-04-04,7.2,74.7,23.1,0.0
2025-04-05,8.2,76.7,8.8,4.0
2025-04-06,7.0,71.4,13.9,0.1
2025-04-07,0.3,76.8,13.3,0.0
2025-04-08,4.6,73.5,7.1,1.7
2025-04-09,10.4,68.8,19.6,0.1
2025-04-10,5.8,69.2,13.9,0.1
2025-04-11,2.8,80.7,17.9,0.0
2025-04-12,9.9,72.2,24.3,25.6
2025-04-13,7.9,81.3,13.3,2.5
2025-04-14,9.2,70.6,13.4,0.2
2025-04-15,8.0,73.8,15.3,0.0
2025-04-16,8.9,83.9,19.2,0.0
2025-04-17,8.1,68.1,12.5,0.4
2025-04-18,9.5,62.6,12.5,4.7
2025-04-19,12.9,78.5,19.5,0.0
2025-04-20,10.1,67.7,16.1,2.9
2025-04-21,5.3,72.0,7.2,0.0
2025-04-22,9.8,69.5,10.0,5.3
2025-04-23,11.3,73.1,21.0,1.8
2025-04-24,11.0,65.9,16.7,0.0
2025-04-25,7.8,69.7,12.1,0.0
2025-04-26,11.0,73.1,14.4,0.1
2025-04-27,11.1,65.7,15.3,1.9
2025-04-28,13.9,66.5,18.0,2.0
2025-04-29,7.7,69.2,9.9,0.0
2025-04-30,8.4,62.8,11.7,0.0
2025-05-01,8.7,68.8,16.5,13.1
2025-05-02,8.7,71.5,14.8,0.0
2025-05-03,8.6,67.8,16.9,2.8
2025-05-04,4.3,68.6,10.6,0.0
2025-05-05,8.9,69.0,16.3,2.1
2025-05-06,11.1,66.5,19.7,0.0
2025-05-07,9.2,72.6,17.0,0.0
2025-05-08,14.5,75.9,15.8,0.0
2025-05-09,10.5,66.6,14.5,0.1
2025-05-10,13.0,71.2,11.8,4.1
2025-05-11,10.7,67.5,14.7,0.0
2025-05-12,11.9,70.9,20.4,0.2
2025-05-13,10.9,76.0,14.6,0.0
2025-05-14,13.8,71.7,11.6,0.2
2025-05-15,10.8,58.8,12.6,0.2
2025-05-16,12.5,71.1,15.8,0.1
2025-05-17,12.0,73.8,13.6,0.0
2025-05-18,10.7,66.8,17.0,1.9
2025-05-19,12.1,72.6,17.3,0.2
2025-05-20,16.2,64.1,18.5,0.0
2025-05-21,10.9,60.5,20.7,2.5
2025-05-22,12.4,68.8,19.2,0.2
2025-05-23,14.7,59.1,10.8,0.0
2025-05-24,14.4,65.8,11.5,0.1
2025-05-25,12.1,73.6,14.6,0.1
2025-05-26,7.6,57.1,13.0,0.0
2025-05-27,13.3,60.1,10.5,0.0
2025-05-28,8.0,61.2,13.5,2.8
2025-05-29,15.2,66.2,13.3,0.0
2025-05-30,13.5,64.9,12.3,0.8
2025-05-31,14.5,72.7,13.9,0.2
2025-06-01,11.4,71.2,19.9,1.6
2025-06-02,9.7,69.5,15.8,0.0
2025-06-03,13.7,67.5,24.7,0.0
2025-06-04,13.1,67.9,15.6,0.1
2025-06-05,12.4,61.2,14.0,0.0
2025-06-06,13.1,70.5,15.0,0.0
2025-06-07,19.1,59.4,15.8,0.0
2025-06-08,15.5,70.5,16.4,0.3
2025-06-09,15.4,71.6,23.5,0.0
2025-06-10,15.2,67.6,11.5,0.0
2025-06-11,16.4,64.0,18.5,0.0
2025-06-12,13.2,68.0,16.1,0.1
2025-06-13,10.0,51.2,8.5,0.0
2025-06-14,13.1,66.9,18.1,0.2
2025-06-15,15.2,64.3,20.0,0.0
2025-06-16,12.4,65.4,11.6,5.3
2025-06-17,13.8,69.2,15.2,0.1
2025-06-18,13.2,65.7,7.8,0.0
2025-06-19,17.0,60.0,10.1,0.1
2025-06-20,15.7,64.3,19.4,0.0
2025-06-21,15.3,65.1,13.1,3.9
2025-06-22,15.5,65.1,10.5,4.4
2025-06-23,13.8,66.6,16.0,0.1
2025-06-24,14.9,70.0,13.0,0.0
2025-06-25,12.1,60.3,13.2,1.9
2025-06-26,10.1,66.2,18.1,2.8
2025-06-27,14.7,71.6,10.2,0.1
2025-06-28,15.0,56.2,11.6,0.0
2025-06-29,17.2,66.2,15.8,1.2
2025-06-30,17.5,62.1,18.9,0.2
2025-07-01,17.9,63.0,19.7,0.0
2025-07-02,13.3,60.8,12.3,5.5
2025-07-03,14.4,64.1,18.8,0.0
2025-07-04,15.3,73.9,11.6,0.0
2025-07-05,19.7,58.9,22.2,9.1
2025-07-06,17.9,59.1,10.2,0.0
2025-07-07,17.1,58.7,20.4,2.2
2025-07-08,13.7,73.5,12.4,1.9
2025-07-09,13.2,62.2,22.7,0.1
2025-07-10,16.5,65.7,17.4,0.0
2025-07-11,13.2,63.8,10.9,0.0
2025-07-12,14.4,60.8,13.0,5.3
2025-07-13,15.0,63.8,18.0,0.8
2025-07-14,17.8,77.4,19.1,0.0
2025-07-15,14.0,72.8,14.6,0.0
2025-07-16,10.3,60.9,15.1,0.0
2025-07-17,16.3,68.3,18.0,1.2
2025-07-18,13.3,62.0,15.6,0.0
2025-07-19,15.1,56.5,9.8,0.0
2025-07-20,14.5,71.3,11.7,0.0
2025-07-21,14.4,70.7,15.9,1.8
2025-07-22,16.8,71.0,20.4,0.1
2025-07-23,11.8,64.2,21.3,3.9
2025-07-24,13.9,64.9,18.0,0.0
2025-07-25,16.0,69.4,16.8,0.0
2025-07-26,13.5,67.3,18.1,0.0
2025-07-27,12.2,64.4,12.1,0.0
2025-07-28,16.3,57.5,14.6,0.0
2025-07-29,16.9,66.6,11.5,0.0
2025-07-30,14.7,71.0,10.2,0.0
2025-07-31,10.5,60.9,16.3,0.0
2025-08-01,16.0,70.0,15.7,4.1
2025-08-02,11.8,68.0,18.1,0.0
2025-08-03,15.3,69.7,17.3,0.0
2025-08-04,13.5,71.6,16.2,0.0
2025-08-05,12.4,63.0,17.3,0.1
2025-08-06,13.8,58.1,14.7,0.0
2025-08-07,14.4,63.4,16.8,1.1
2025-08-08,12.6,71.1,12.3,0.0
2025-08-09,15.8,63.7,16.5,0.7
2025-08-10,13.6,63.4,18.0,0.5
2025-08-11,16.8,58.4,12.5,0.0
2025-08-12,15.2,75.9,15.2,9.6
2025-08-13,12.7,71.7,12.6,1.4
2025-08-14,12.9,71.1,12.9,0.1
2025-08-15,10.9,72.5,10.3,0.6
2025-08-16,14.5,71.5,20.0,0.2
2025-08-17,13.5,66.5,19.3,5.8
2025-08-18,9.3,67.4,17.1,0.1
2025-08-19,13.4,65.3,23.0,0.1
2025-08-20,12.3,82.1,14.2,5.4
2025-08-21,17.1,71.0,27.3,0.0
2025-08-22,10.7,66.7,14.2,0.0
2025-08-23,11.2,71.0,16.1,0.0
2025-08-24,16.1,64.0,13.1,5.6
2025-08-25,16.7,76.8,16.8,0.1
2025-08-26,12.2,65.6,18.3,0.1
2025-08-27,12.3,72.2,14.5,1.7
2025-08-28,15.0,74.4,22.0,0.0
2025-08-29,8.6,71.8,15.9,0.1
2025-08-30,9.5,70.0,16.4,0.0
2025-08-31,13.1,70.0,11.6,1.9
2025-09-01,16.6,69.5,16.8,1.5
2025-09-02,12.1,67.2,14.4,0.0
2025-09-03,13.0,67.5,12.7,0.0
2025-09-04,15.5,77.9,11.9,0.0
2025-09-05,17.2,70.0,25.6,0.2
2025-09-06,11.6,66.5,14.0,2.5
2025-09-07,12.4,68.3,9.1,0.2
2025-09-08,16.2,76.6,12.3,3.0
2025-09-09,9.3,74.3,14.8,0.1
2025-09-10,14.2,74.1,17.3,12.7
2025-09-11,10.2,69.8,17.1,0.1
2025-09-12,12.4,75.6,17.8,0.3
2025-09-13,11.4,69.1,12.2,0.4
2025-09-14,10.2,70.8,16.2,0.4
2025-09-15,10.2,77.5,11.4,1.3
2025-09-16,12.5,75.8,12.3,1.1
2025-09-17,13.5,66.5,11.5,0.2
2025-09-18,11.4,68.2,10.1,0.6
2025-09-19,11.5,72.8,19.1,0.1
2025-09-20,12.1,81.5,18.0,0.1
2025-09-21,9.4,63.7,18.8,0.0
2025-09-22,12.6,75.1,15.1,0.0
2025-09-23,13.3,66.1,17.9,0.2
2025-09-24,16.4,70.7,8.1,0.7
2025-09-25,10.2,72.0,18.6,1.2
2025-09-26,9.8,72.1,15.9,0.0
2025-09-27,12.1,71.3,17.6,0.0
2025-09-28,11.8,75.0,16.5,1.0
2025-09-29,8.7,71.8,10.9,2.1
2025-09-30,9.1,68.2,8.8,0.0
2025-10-01,11.1,78.4,12.4,0.1
2025-10-02,7.7,79.1,17.4,0.0
2025-10-03,8.9,79.4,17.6,0.1
2025-10-04,9.8,67.5,9.5,0.0
2025-10-05,11.5,77.3,11.0,0.0
2025-10-06,8.1,79.0,11.9,3.6
2025-10-07,5.6,69.6,13.6,5.9
2025-10-08,5.9,74.8,9.5,0.2
2025-10-09,6.8,76.2,9.1,0.0
2025-10-10,6.2,86.2,11.4,8.6
2025-10-11,8.5,87.0,15.0,0.1
2025-10-12,6.4,68.4,10.2,4.6
2025-10-13,7.0,88.8,14.5,0.0
2025-10-14,6.8,72.3,19.1,0.9
2025-10-15,7.8,82.2,9.9,0.0
2025-10-16,10.8,81.8,14.2,1.2
2025-10-17,9.2,73.3,19.2,0.9
2025-10-18,8.1,81.2,13.3,8.8
2025-10-19,7.0,77.6,12.5,0.3
2025-10-20,6.4,80.9,19.7,3.0
2025-10-21,8.3,78.8,13.5,6.2
2025-10-22,8.9,85.1,19.5,0.0
2025-10-23,5.7,79.0,16.5,1.7
2025-10-24,8.0,77.8,13.8,0.1
2025-10-25,3.5,84.6,16.9,3.7
2025-10-26,7.9,81.7,16.5,0.0
2025-10-27,9.2,82.9,18.9,2.7
2025-10-28,6.5,75.4,12.7,2.7
2025-10-29,10.4,74.8,15.2,4.2
2025-10-30,5.1,76.8,15.0,0.6
2025-10-31,6.8,77.2,18.1,1.3
2025-11-01,6.3,83.8,10.9,7.5
2025-11-02,5.9,84.9,19.4,0.2
2025-11-03,6.0,79.0,16.8,10.2
2025-11-04,6.1,87.9,10.0,0.1
2025-11-05,7.4,87.0,19.6,1.4
2025-11-06,8.6,81.7,24.0,2.1
2025-11-07,5.6,76.7,18.5,0.3
2025-11-08,6.7,88.9,20.5,0.0
2025-11-09,3.6,80.1,15.4,0.0
2025-11-10,6.6,81.8,8.1,3.2
2025-11-11,3.5,80.0,7.7,5.8
2025-11-12,7.4,76.9,16.2,6.1
2025-11-13,9.5,74.2,12.5,9.6
2025-11-14,4.9,85.0,11.1,2.5
2025-11-15,0.6,77.9,14.7,6.8
2025-11-16,3.9,96.9,17.3,1.1
2025-11-17,7.2,76.7,9.2,2.7
2025-11-18,5.6,76.4,13.2,3.7
2025-11-19,5.2,84.5,21.0,2.1
2025-11-20,6.5,90.0,11.0,0.0
2025-11-21,5.2,82.3,18.3,0.0
2025-11-22,6.8,86.0,13.3,3.7
2025-11-23,5.2,73.6,17.0,2.2
2025-11-24,6.8,79.2,19.4,7.6
2025-11-25,4.4,77.7,18.2,8.3
2025-11-26,5.8,73.1,18.9,0.0
2025-11-27,3.4,83.4,10.3,2.2
2025-11-28,1.9,71.5,19.6,5.7
2025-11-29,7.2,76.4,11.7,9.5
2025-11-30,3.4,81.4,15.9,1.6
2025-12-01,4.5,79.1,16.2,2.0
2025-12-02,3.3,85.9,17.3,6.0
2025-12-03,1.8,84.9,16.4,0.1
2025-12-04,2.6,88.7,11.7,2.5
2025-12-05,5.9,87.3,9.7,4.0
2025-12-06,4.1,89.7,18.2,0.6
2025-12-07,-0.4,84.1,15.8,2.9
2025-12-08,2.1,86.7,19.4,0.4
2025-12-09,6.1,87.1,14.7,0.2
2025-12-10,2.0,84.7,9.8,0.1
2025-12-11,-0.7,82.7,18.8,2.7
2025-12-12,5.4,83.7,13.4,0.0
2025-12-13,3.4,79.7,16.6,2.8
2025-12-14,2.1,86.3,12.2,3.5
2025-12-15,1.1,84.0,21.5,0.4
2025-12-16,4.2,81.1,11.7,0.2
2025-12-17,0.9,81.2,13.7,0.3
2025-12-18,4.1,78.1,15.1,1.7
2025-12-19,3.0,90.3,10.7,3.0
2025-12-20,2.5,84.6,16.2,11.6
2025-12-21,2.0,80.4,21.8,0.9
2025-12-22,1.2,89.4,12.9,3.5
2025-12-23,3.7,82.1,16.8,1.9
2025-12-24,-0.1,77.4,4.4,3.2
2025-12-25,-2.1,89.4,14.7,0.0
2025-12-26,2.9,82.2,13.7,0.0
2025-12-27,2.6,82.6,11.8,0.0
2025-12-28,2.7,85.3,19.2,0.0
2025-12-29,2.4,90.1,13.7,0.0
2025-12-30,1.0,85.4,14.2,0.1
2025-12-31,2.6,79.1,13.4,0.0
