date,pm10,pm25,no2,so2,co,poor_air_quality
2025-08-19,35.5,8.1,28.8,6.2,0.57,0
2025-08-20,28.9,11.2,37.5,2.1,0.55,1
2025-08-21,22.4,14.3,18.6,3.5,0.78,0
2025-08-22,37.8,21.8,27.6,5.9,0.96,1
2025-08-23,21.2,9.5,8.3,10.3,0.7,0
2025-08-24,59.3,30.3,39.9,6.6,1.02,1
2025-08-25,11.5,11.8,11.4,7.9,0.68,1
2025-08-26,20.2,10.5,14.9,5.2,0.34,0
2025-08-27,40.0,29.8,25.8,7.8,1.25,1
2025-08-28,14.2,8.9,7.3,6.2,1.14,0
2025-08-29,18.3,12.4,21.7,9.8,0.73,0
2025-08-30,32.3,22.4,31.9,5.5,0.93,0
2025-08-31,35.0,20.6,27.5,2.9,0.79,0
2025-09-01,29.3,14.1,11.2,3.3,0.41,0
2025-09-02,37.0,20.5,25.8,6.2,0.82,0
2025-09-03,18.8,11.1,26.1,3.5,0.42,0
2025-09-04,27.0,11.5,8.1,8.8,0.46,0
2025-09-05,18.8,10.2,13.1,5.8,0.98,0
2025-09-06,36.7,18.6,32.5,15.4,1.02,0
2025-09-07,34.3,21.8,28.1,2.8,0.99,0
2025-09-08,37.8,21.3,30.5,9.6,0.95,0
2025-09-09,24.7,14.4,38.6,4.4,0.74,0
2025-09-10,31.3,18.8,29.5,6.7,1.09,0
2025-09-11,26.0,16.5,30.0,8.0,0.79,0
2025-09-12,25.5,17.7,47.5,0.9,0.91,0
2025-09-13,24.7,12.3,22.5,9.0,0.75,0
2025-09-14,16.7,7.3,15.8,13.0,0.61,0
2025-09-15,24.7,18.5,29.6,6.3,0.55,0
2025-09-16,13.1,8.8,25.0,8.5,0.28,0
2025-09-17,27.2,12.0,22.8,11.8,0.79,0
2025-09-18,21.6,15.1,16.0,7.7,0.8,0
2025-09-19,16.4,12.5,42.5,6.2,0.44,0
2025-09-20,51.7,22.9,36.3,2.5,1.2,1
2025-09-21,25.9,15.9,20.4,10.6,0.85,0
2025-09-22,30.0,19.8,34.4,8.6,0.46,0
2025-09-23,32.0,19.6,26.8,5.6,0.79,0
2025-09-24,25.2,17.4,24.3,9.4,0.93,0
2025-09-25,23.9,11.1,31.3,7.2,0.92,0
2025-09-26,26.0,16.4,16.5,7.6,0.63,0
2025-09-27,20.5,11.9,28.1,10.7,0.87,0
2025-09-28,39.6,21.8,46.3,5.8,1.31,0
2025-09-29,24.4,18.0,31.3,12.3,1.0,0
2025-09-30,27.5,21.3,25.9,5.3,0.89,0
2025-10-01,39.2,27.3,27.0,7.5,0.98,1
2025-10-02,21.6,17.4,22.7,14.5,0.7,0
2025-10-03,36.4,20.6,29.4,13.1,1.14,0
2025-10-04,38.0,23.4,29.8,10.3,1.13,0
2025-10-05,39.0,24.6,40.4,7.4,1.25,1
2025-10-06,24.2,16.3,13.5,8.0,0.89,0
2025-10-07,20.5,13.6,33.7,9.8,0.97,0
2025-10-08,25.4,18.1,25.2,10.1,0.92,0
2025-10-09,27.1,16.7,32.4,9.4,1.1,0
2025-10-10,30.7,15.9,23.0,10.1,1.23,0
2025-10-11,21.5,12.8,37.8,8.9,0.72,0
2025-10-12,33.3,21.6,40.5,6.0,0.7,0
2025-10-13,42.1,24.9,41.8,9.4,1.49,1
2025-10-14,22.3,14.0,16.4,11.9,0.91,0
2025-10-15,39.6,25.3,41.0,7.3,0.77,1
2025-10-16,39.5,21.9,37.6,10.5,1.01,0
2025-10-17,51.0,31.4,25.7,9.0,1.49,1
2025-10-18,30.0,18.9,30.0,11.3,0.97,0
2025-10-19,29.4,15.1,35.6,9.4,0.92,0
2025-10-20,39.0,27.5,39.5,15.7,1.46,1
2025-10-21,38.2,21.5,36.7,12.6,0.95,0
2025-10-22,55.9,26.0,41.5,8.6,1.28,1
2025-10-23,38.7,19.0,46.9,13.4,1.18,0
2025-10-24,52.9,26.4,49.5,9.8,1.48,1
2025-10-25,38.6,22.6,13.1,10.0,1.26,0
2025-10-26,40.2,22.4,32.4,12.7,1.36,1
2025-10-27,34.6,19.8,33.1,9.9,1.11,0
2025-10-28,34.1,22.2,20.0,14.4,1.23,0
2025-10-29,39.5,23.9,37.7,10.1,1.19,0
2025-10-30,33.7,21.5,45.0,9.7,1.15,1
2025-10-31,34.8,22.7,27.4,9.7,1.17,1
2025-11-01,42.6,26.7,40.2,10.5,1.35,1
2025-11-02,36.6,15.9,29.5,15.5,1.34,0
2025-11-03,24.6,15.6,28.3,13.1,1.14,0
2025-11-04,34.6,14.9,46.6,17.0,1.16,0
2025-11-05,30.0,19.4,30.9,18.2,0.93,0
2025-11-06,30.4,19.9,39.4,8.5,1.11,0
2025-11-07,34.1,23.8,21.0,12.1,1.11,0
2025-11-08,31.8,23.6,49.7,8.5,1.2,0
2025-11-09,34.8,21.6,41.8,10.2,1.59,1
2025-11-10,40.0,22.2,35.9,10.7,1.13,1
2025-11-11,35.3,22.8,41.4,8.9,1.25,0
2025-11-12,23.0,14.2,22.3,8.5,1.23,0
2025-11-13,46.5,27.3,50.6,12.9,1.42,1
2025-11-14,38.3,25.6,35.2,9.2,1.75,1
2025-11-15,38.2,21.5,36.1,15.2,1.13,0
2025-11-16,32.3,22.2,32.9,9.6,1.22,0
2025-11-17,43.6,27.5,36.0,21.7,1.14,0
2025-11-18,58.8,30.5,52.0,12.3,1.51,1
2025-11-19,63.8,38.8,47.4,14.4,1.69,1
2025-11-20,43.8,27.4,46.2,9.8,1.51,1
2025-11-21,44.8,27.8,40.6,18.5,1.45,1
2025-11-22,35.2,19.1,43.0,16.0,1.46,0
2025-11-23,43.0,23.4,36.6,14.2,1.35,0
2025-11-24,48.8,26.6,59.9,9.5,1.37,1
2025-11-25,49.8,30.6,30.0,14.0,2.0,1
2025-11-26,34.2,19.3,48.5,9.8,1.25,0
2025-11-27,57.5,34.4,56.8,18.8,1.43,1
2025-11-28,33.7,17.7,31.8,15.4,1.11,0
2025-11-29,48.7,27.9,60.8,14.0,1.27,1
2025-11-30,43.6,26.7,48.8,6.1,1.52,1
2025-12-01,53.8,38.2,52.8,11.1,1.43,0
2025-12-02,33.9,17.7,39.2,15.1,1.24,1
2025-12-03,49.6,33.4,42.8,17.4,1.49,1
2025-12-04,37.3,22.5,37.6,17.1,1.42,1
2025-12-05,77.8,44.0,54.2,10.8,1.7,1
2025-12-06,29.4,19.6,49.1,14.1,0.96,0
2025-12-07,41.8,26.4,43.9,17.0,1.34,1
2025-12-08,40.5,24.4,34.1,8.9,1.43,1
2025-12-09,28.5,24.4,44.8,13.1,1.25,0
2025-12-10,42.8,24.3,49.1,14.8,1.24,1
2025-12-11,38.0,26.5,47.2,12.7,1.4,1
2025-12-12,57.5,30.8,52.0,9.2,1.44,1
2025-12-13,43.0,26.5,39.7,13.0,1.3,1
2025-12-14,79.3,40.6,46.0,14.7,1.7,1
2025-12-15,38.2,25.2,32.9,13.0,1.58,0
2025-12-16,38.4,27.8,29.1,12.1,1.46,1
2025-12-17,47.2,27.7,46.1,12.8,1.6,1
2025-12-18,42.0,25.2,42.3,13.5,1.62,0
2025-12-19,40.5,21.3,38.8,15.4,1.91,0
2025-12-20,56.5,32.6,23.1,14.1,1.27,1
2025-12-21,55.8,27.8,35.4,14.0,1.39,0
2025-12-22,46.7,25.4,53.2,14.5,1.34,0
2025-12-23,49.6,29.7,38.9,8.6,1.32,1
2025-12-24,46.3,31.2,47.0,15.5,1.22,1
2025-12-25,32.7,30.1,29.3,13.7,1.2,0
2025-12-26,42.3,24.0,55.0,14.2,1.14,0
2025-12-27,39.3,28.1,40.7,16.6,1.38,1
2025-12-28,47.1,28.8,47.1,8.5,1.47,1
2025-12-29,31.3,19.5,57.8,7.2,1.35,0
2025-12-30,51.0,31.7,57.1,15.6,1.6,1
2025-12-31,53.9,31.5,44.0,14.5,1.68,1
